10000		0.10900000
20000		0.12500000
30000		0.10900000
40000		0.09400000
50000		0.12500000
60000		0.10900000
70000		0.10900000
80000		0.17200000
90000		0.14100000
100000		0.18700000
100000		0.12500000
200000		0.10900000
300000		0.07800000
400000		0.17200000
500000		0.14000000
600000		0.17100000
700000		0.07800000
800000		0.17200000
900000		0.17200000
1000000		0.17200000
1000000		0.12500000
2000000		0.15600000
3000000		0.62500000
4000000		0.65600000
5000000		0.86000000
6000000		0.46900000
7000000		0.51600000
8000000		0.53100000
9000000		0.54600000
10000000		0.43800000
10000000		0.67200000
20000000		0.42200000
30000000		0.67200000
40000000		0.73500000
50000000		0.45400000
60000000		0.56200000
70000000		0.31300000
80000000		0.37500000
90000000		0.60900000
100000000		1.01600000
10000		0.15600000
20000		0.14100000
30000		0.28100000
40000		0.17200000
50000		0.20300000
60000		0.17200000
70000		0.18700000
80000		0.14100000
90000		0.14100000
100000		0.15600000
100000		0.14100000
200000		0.09400000
300000		0.14100000
400000		0.12500000
500000		0.20300000
600000		0.20300000
700000		0.11000000
800000		0.06200000
900000		0.06200000
1000000		0.06300000
1000000		0.06200000
2000000		0.11000000
3000000		0.11000000
4000000		0.15600000
5000000		0.14100000
6000000		0.42100000
7000000		0.40600000
8000000		0.67200000
9000000		0.73400000
10000000		0.50000000
10000000		0.56200000
20000000		0.59400000
30000000		0.25000000
40000000		0.40700000
50000000		0.67300000
60000000		0.48300000
70000000		0.51600000
80000000		0.51600000
90000000		0.67200000
100000000		0.70400000
10000		0.20300000
20000		0.20300000
30000		0.14000000
40000		0.12500000
50000		0.21900000
60000		0.11000000
70000		0.14100000
80000		0.12500000
90000		0.12500000
100000		0.17200000
100000		0.14100000
200000		0.18800000
300000		0.18700000
400000		0.25000000
500000		0.14100000
600000		0.09300000
700000		0.25000000
800000		0.20300000
900000		0.17200000
1000000		0.71900000
1000000		1.51500000
2000000		0.82800000
3000000		1.03100000
4000000		0.60900000
5000000		1.67200000
6000000		1.25000000
7000000		0.50000000
8000000		1.07800000
9000000		1.64100000
10000000		0.68700000
10000000		1.20200000
20000000		0.95400000
30000000		0.50000000
40000000		0.59400000
50000000		2.04600000
60000000		0.78100000
70000000		0.95300000
80000000		0.40600000
90000000		0.42100000
100000000		0.53100000
10000		0.20300000
20000		0.09400000
30000		0.17200000
40000		0.09300000
50000		0.26600000
60000		0.17200000
70000		0.18700000
80000		0.28100000
90000		0.23400000
100000		0.25000000
100000		0.21900000
200000		0.25000000
300000		0.28200000
400000		0.25000000
500000		0.18800000
600000		0.26500000
700000		0.29700000
800000		0.29700000
900000		0.20300000
1000000		0.26600000
1000000		0.46900000
2000000		0.39000000
3000000		0.34400000
4000000		0.37500000
5000000		0.39000000
6000000		0.42200000
7000000		0.60900000
8000000		0.62500000
9000000		0.46900000
10000000		0.53200000
10000000		0.59400000
20000000		0.53100000
30000000		0.68700000
40000000		0.59400000
50000000		0.92200000
60000000		0.40600000
70000000		0.42100000
80000000		0.60900000
90000000		0.67200000
100000000		0.73500000
10000		0.35900000
20000		0.12500000
30000		0.18800000
40000		0.15600000
50000		0.21900000
60000		0.25000000
70000		0.17200000
80000		0.26600000
90000		0.31200000
100000		0.12500000
100000		0.18700000
200000		0.09300000
300000		0.29700000
400000		0.18700000
500000		0.28100000
600000		0.34300000
700000		0.23400000
800000		0.20300000
900000		0.43700000
1000000		0.45300000
1000000		0.26500000
2000000		0.32800000
3000000		0.40700000
4000000		0.48400000
5000000		0.60900000
6000000		0.29700000
7000000		0.46900000
8000000		0.64000000
9000000		0.57800000
10000000		0.29700000
10000000		0.39000000
20000000		0.46900000
30000000		0.53200000
40000000		0.53100000
50000000		0.95300000
60000000		0.53100000
70000000		0.67200000
80000000		1.50000000
90000000		0.73500000
100000000		0.67200000
